Product Name,Category,Quantity,Original Price (Rs.),Discount,Discounted Price (Rs.)
Coriander Leaves With Roots - Enhances Flavour Of The Dishes,fruits-vegetables,100 g,10.918000000000001,6% OFF,10.3
Onion (Loose),fruits-vegetables,2 kg,64.07,49% OFF,43.0
Potato - Fresh Crop,fruits-vegetables,1 kg,48.260000000000005,27% OFF,38.0
Carrot - Orange (Loose),fruits-vegetables,1 kg,65.12,48% OFF,44.0
Potato,fruits-vegetables,1 kg,47.26,39% OFF,34.0
Tomato - Local,fruits-vegetables,2 x 1 kg - Multipack,79.515,35% OFF,58.9
Coriander Leaves,fruits-vegetables,100 g,12.7,27% OFF,10.0
Ladies' Fingers (Loose),fruits-vegetables,500 g,26.240000000000002,64% OFF,16.0
Cucumber (Loose),fruits-vegetables,1 kg,55.769999999999996,43% OFF,39.0
Carrot - Red,fruits-vegetables,500 g,29.21,27% OFF,23.0
Tomato - Hybrid (Loose),fruits-vegetables,500 g,15.8,58% OFF,10.0
Beans - Haricot (Loose),fruits-vegetables,500 g,74.88,56% OFF,48.0
Capsicum - Green (Loose),fruits-vegetables,500 g,58.855000000000004,49% OFF,39.5
Beetroot (Loose),fruits-vegetables,1 kg,56.8,42% OFF,40.0
"Palak - Cleaned, without roots",fruits-vegetables,250 g,12.33,0% off,12.33
Cauliflower,fruits-vegetables,1 pc - (approx. 400 to 600 g),30.03,43% OFF,21.0
Mushrooms - Button,fruits-vegetables,1 pack - (Approx. 180g - 200 g),67.9,40% OFF,48.5
"Chilli - Green, Organically Grown",fruits-vegetables,500 g,104.14,27% OFF,82.0
Cucumber - English (Loose),fruits-vegetables,1 kg,68.2,55% OFF,44.0
Drumstick/Moringa,fruits-vegetables,1 kg,91.44,27% OFF,72.0
Curry Leaves,fruits-vegetables,1 kg,283.21,27% OFF,223.0
Cabbage,fruits-vegetables,1 pc - (approx. 500 g to 800 g),39.6,32% OFF,30.0
Onion - Organically Grown (Loose),fruits-vegetables,1 kg,39.6,44% OFF,27.5
Bottle Gourd (Loose),fruits-vegetables,1 pc - (Approx. 500 g - 800 g),32.56,48% OFF,22.0
Ridge Gourd,fruits-vegetables,1 kg,73.5,47% OFF,50.0
Sweet Corn (Loose),fruits-vegetables,2 pcs,70.4596,27% OFF,55.48
Green Peas (Loose),fruits-vegetables,1 kg,211.2,28% OFF,165.0
Brinjal - Varikatri (Loose),fruits-vegetables,500 g,27.675,35% OFF,20.5
Bitter Gourd (Loose),fruits-vegetables,1 kg,73.66,27% OFF,58.0
Brinjal - Bottle Shape (Loose),fruits-vegetables,1 kg,71.03999999999999,48% OFF,48.0
Lettuce - Iceberg,fruits-vegetables,1 pc - (Approx. 250g-500g),33.02,27% OFF,26.0
Pumpkin Green - Cut,fruits-vegetables,500 g,58.42,27% OFF,46.0
Onion - Sambhar (Loose),fruits-vegetables,1 kg,100.33,27% OFF,79.0
Carrot - Ooty (Loose),fruits-vegetables,1 kg,176.53,27% OFF,139.0
Ash Gourd - Cut,fruits-vegetables,500 g,55.88,27% OFF,44.0
"Beans - French, Ring (Loose)",fruits-vegetables,1 kg,128.64,34% OFF,96.0
Ladies' Fingers - Organically Grown (Loose),fruits-vegetables,1 kg,68.64,43% OFF,48.0
Yam - Diced,fruits-vegetables,200 g,62.230000000000004,27% OFF,49.0
"Cut Cauliflower, Washed",fruits-vegetables,300 g,48.260000000000005,27% OFF,38.0
Beans - Diced,fruits-vegetables,200 g,67.31,27% OFF,53.0
Carrot Strips and Beans Strip,fruits-vegetables,200 g,52.07,27% OFF,41.0
Methi - Chopped,fruits-vegetables,200 g,68.58,27% OFF,54.0
Coriander 1 pc,fruits-vegetables,1 pc - (approx. 80-100g),6.02,72% OFF,3.5
Potato,fruits-vegetables,2 kg,73.84,42% OFF,52.0
Potato - Chandramukhi,fruits-vegetables,1 kg,35.75,43% OFF,25.0
Ooty Beetroot,fruits-vegetables,1 kg,128.0,28% OFF,100.0
Cauliflower - Small,fruits-vegetables,1 pc - (Approx. 300 - 500 g),29.21,27% OFF,23.0
"Brinjal - Purple, Bharta",fruits-vegetables,500 g,26.240000000000002,64% OFF,16.0
Potato - Jyoti,fruits-vegetables,1 kg,35.56,27% OFF,28.0
Watermelon  - Small,fruits-vegetables,1 pc - 1.7 - 2.5 kg,105.07,33% OFF,79.0
Tender Coconut,fruits-vegetables,1 pc,61.57,31% OFF,47.0
Strawberry,fruits-vegetables,200 g,92.235,29% OFF,71.5
"Orange - Nagpur, Regular",fruits-vegetables,3 x 1 kg - Multipack,348.3,29% OFF,270.0
Banana - Yelakki,fruits-vegetables,500 g,35.62,37% OFF,26.0
Banana - Robusta,fruits-vegetables,1 kg,55.65,59% OFF,35.0
Mango Alphonso (Ratnagiri) - Organic,fruits-vegetables,6 pcs,416.2679,27% OFF,327.77
Baby Orange - Nagpur,fruits-vegetables,1 kg - Approx (8-10 pcs),90.17,27% OFF,71.0
Apple - Royal Gala Economy,fruits-vegetables,4 pcs - Approx.450 g - 500 g,203.52,28% OFF,159.0
Pomegranate - Regular,fruits-vegetables,1 kg - (5-6 pcs per kg),207.7,34% OFF,155.0
Coconut - Medium,fruits-vegetables,1 pc - (approx. 450g to 500),39.15,45% OFF,27.0
Baby Apple Shimla,fruits-vegetables,1 kg - (Approx. 11-12 pcs),222.6,40% OFF,159.0
Blueberry,fruits-vegetables,125 g,284.05,30% OFF,218.5
"Apple - Royal Gala, Regular",fruits-vegetables,2x4 pcs - Multipack,448.38,41% OFF,318.0
"Mango - Raw, Totapuri",fruits-vegetables,500 g,43.18,27% OFF,34.0
Kiwi - Green,fruits-vegetables,3 pcs - Approx. 220 g - 260 g,130.05,53% OFF,85.0
Dragon Fruit (Loose),fruits-vegetables,1 pc - Approx. 300 g - 400 g,98.03999999999999,29% OFF,76.0
Pomegranate,fruits-vegetables,4 pcs - (Approx. 800 g - 880 g),306.56,28% OFF,239.5
"Apple - Red Delicious / Washington, Regular",fruits-vegetables,2x4 pcs,403.86,27% OFF,318.0
Banana - Nendran,fruits-vegetables,1 kg,115.28,31% OFF,88.0
Mini Orange Imported,fruits-vegetables,1 kg,281.6,28% OFF,220.0
Guava (Loose),fruits-vegetables,1 kg,167.7,29% OFF,130.0
"Pear - Green, Imported",fruits-vegetables,3x2 pcs - Multipack,483.8573,27% OFF,380.99
Mosambi - Economy,fruits-vegetables,2 kg,189.23000000000002,27% OFF,149.0
"Avocado - Imported, Medium (Loose)",fruits-vegetables,1 pc - Approx. 200 g,104.14,27% OFF,82.0
Papaya,fruits-vegetables,1 kg,92.235,29% OFF,71.5
Baby Banana - Robusta,fruits-vegetables,500 g - (4-6 pcs),32.4,35% OFF,24.0
"Apple - Shimla, Regular",fruits-vegetables,2x4 pcs - Multipack,408.94,27% OFF,322.0
"Apple - Royal Gala, Premium",fruits-vegetables,2x4 pcs - (Multipack),523.24,27% OFF,412.0
"Dates - Kimia, with Seed",fruits-vegetables,1 pc - (Approx. 400 to 500g),268.65,35% OFF,199.0
"Apple - Shimla, Premium",fruits-vegetables,2x4 pcs - Multipack,487.6673,27% OFF,383.99
Pomegranate - Premium,fruits-vegetables,2 pcs - (220-250 g per pc),229.12,28% OFF,179.0
Banana - Red,fruits-vegetables,1 kg,90.86,54% OFF,59.0
Apple - Pink Lady,fruits-vegetables,4 pcs - Approx .550 g - 650 g,378.46000000000004,27% OFF,298.0
Orange - Imported (Loose),fruits-vegetables,6 pcs - Approx. 900 g - 1000 g,133.11,53% OFF,87.0
Guava - Thai,fruits-vegetables,1 pc,43.52290000000001,27% OFF,34.27
"Apple - Red Delicious / Washington, Premium",fruits-vegetables,2x4 pcs - Multipack,525.78,27% OFF,414.0
Orange - Imported (Loose),fruits-vegetables,4 pcs - Approx. 600 g - 700 g,190.72,28% OFF,149.0
Mosambi (Loose),fruits-vegetables,6 pcs - 800 gm - 1 kg,97.98,42% OFF,69.0
Coconut - Diced,fruits-vegetables,150 g,62.230000000000004,27% OFF,49.0
Papaya - Small,fruits-vegetables,1 pc - 500 g - 800 g,53.721,27% OFF,42.3
"Orange - Nagpur, Small (Loose)",fruits-vegetables,2 kg,135.89,27% OFF,107.0
"Apple - Shimla, Economy",fruits-vegetables,1 kg - (Approx. 13-14 pcs),240.03,27% OFF,189.0
"Apple - Red Delicious, Economy",fruits-vegetables,4 pcs - Approx. 450 g - 500 g,198.12,27% OFF,156.0
Papaya - Medium,fruits-vegetables,1 pc - 800g - 1.4 kg,82.01,39% OFF,59.0
Grapes - Red Globe,fruits-vegetables,1 kg,699.77,27% OFF,551.0
Blueberry,fruits-vegetables,125 g,209.55,27% OFF,165.0
Banana - Yelakki,fruits-vegetables,6 pcs,58.42,27% OFF,46.0
Baby Apple Shimla,fruits-vegetables,1 kg - (Approx. 8 - 10 pcs),321.2,46% OFF,220.0
"Apple - Shimla, Regular",fruits-vegetables,4 pcs - (Approx. 640-720 g),293.12,28% OFF,229.0
Tender Coconut - Small,fruits-vegetables,1 pc,85.2424,27% OFF,67.12
Strawberry,fruits-vegetables,200 g,92.235,29% OFF,71.5
Mushrooms - Button,fruits-vegetables,1 pack - (Approx. 180g - 200 g),67.9,40% OFF,48.5
Broccoli,fruits-vegetables,1 pc - (Approx. 250g-500g),51.09,31% OFF,39.0
Cucumber - English (Loose),fruits-vegetables,1 kg,68.2,55% OFF,44.0
Blueberry,fruits-vegetables,125 g,284.05,30% OFF,218.5
Kiwi - Green,fruits-vegetables,3 pcs - Approx. 220 g - 260 g,130.05,53% OFF,85.0
Dragon Fruit (Loose),fruits-vegetables,1 pc - Approx. 300 g - 400 g,98.03999999999999,29% OFF,76.0
Sweet Corn (Loose),fruits-vegetables,2 pcs,70.4596,27% OFF,55.48
"Pear - Green, Imported",fruits-vegetables,3x2 pcs - Multipack,483.8573,27% OFF,380.99
"Avocado - Imported, Medium (Loose)",fruits-vegetables,1 pc - Approx. 200 g,104.14,27% OFF,82.0
Lettuce - Iceberg,fruits-vegetables,1 pc - (Approx. 250g-500g),33.02,27% OFF,26.0
Baby Corn - Peeled,fruits-vegetables,500 g,186.69,27% OFF,147.0
Guava - Thai,fruits-vegetables,1 pc,43.52290000000001,27% OFF,34.27
Broccoli - Florets,fruits-vegetables,200 g,85.09,27% OFF,67.0
Avocado Imported - Small,fruits-vegetables,1 pc - Approx. 120 g - 160 g,103.2,29% OFF,80.0
Grapes - Red Globe,fruits-vegetables,1 kg,699.77,27% OFF,551.0
Blueberry,fruits-vegetables,125 g,209.55,27% OFF,165.0
Dragon Fruit - Red Flesh,fruits-vegetables,1 pc,166.37,27% OFF,131.0
Broccoli,fruits-vegetables,1 pc - (Approx. 100g-300g),63.535,31% OFF,48.5
Grapes - Black Seedless,fruits-vegetables,500 g,101.6,27% OFF,80.0
Avocado (Loose),fruits-vegetables,1 kg,495.3,27% OFF,390.0
"Capsicum - Green, Organically Grown (Loose)",fruits-vegetables,250 g,25.5,50% OFF,17.0
Mint - Organically Grown,fruits-vegetables,1 kg,91.44,27% OFF,72.0
Fresh Figs,fruits-vegetables,1 kg,215.9,27% OFF,170.0
Grapes - Bangalore Blue,fruits-vegetables,1 kg,104.14,27% OFF,82.0
Sweet Potato - Organically Grown (Loose),fruits-vegetables,1 kg,83.82,27% OFF,66.0
Dill Leaves,fruits-vegetables,1 kg,167.64,27% OFF,132.0
English Cucumber - Organically grown (Loose),fruits-vegetables,1 kg,66.44,51% OFF,44.0
Baby Potato (Loose),fruits-vegetables,1 kg,63.5,27% OFF,50.0
Tomato - Cherry,fruits-vegetables,1 kg,139.065,27% OFF,109.5
Passion Fruit,fruits-vegetables,1 kg,424.18,27% OFF,334.0
Rosemary,fruits-vegetables,10 g,17.78,27% OFF,14.0
Lettuce - Green,fruits-vegetables,1 kg,166.37,27% OFF,131.0
Longan,fruits-vegetables,1 kg,434.34000000000003,27% OFF,342.0
"Amaranthus - Red Cleaned, without roots",fruits-vegetables,1 kg,171.45,27% OFF,135.0
"Jackfruit - Cut, Raw",fruits-vegetables,200 g,74.93,27% OFF,59.0
Grapes - Red Globe  Indian,fruits-vegetables,500 g,135.89,27% OFF,107.0
"Capsicum - Red, Organically Grown (Loose)",fruits-vegetables,1 pc,27.305,27% OFF,21.5
Zucchini - Green,fruits-vegetables,2 pcs Approx (300-400g),87.63,27% OFF,69.0
Lemon Grass,fruits-vegetables,100 g,13.97,27% OFF,11.0
Soursop,fruits-vegetables,1 pc - 400 - 800g,110.49000000000001,27% OFF,87.0
"Capsicum - Yellow, Organically Grown (Loose)",fruits-vegetables,1 pc,33.02,27% OFF,26.0
Baby Corn - Unpeeled (Loose),fruits-vegetables,1 kg,48.260000000000005,27% OFF,38.0
Celery,fruits-vegetables,1 kg,149.86,27% OFF,118.0
Cherry - Imported,fruits-vegetables,250 g,807.085,27% OFF,635.5
Cape Gooseberry,fruits-vegetables,500 g,162.56,27% OFF,128.0
Lettuce - Romaine,fruits-vegetables,500 g,63.5,27% OFF,50.0
Zucchini - Yellow,fruits-vegetables,2 pcs Approx (300-400g),86.36,27% OFF,68.0
Coriander Leaves,fruits-vegetables,100 g,12.7,27% OFF,10.0
Lemon (Loose),fruits-vegetables,100 g,23.84,60% OFF,14.9
Garlic - Peeled,fruits-vegetables,200 g,97.79,27% OFF,77.0
"Chilli - Green, Organically Grown",fruits-vegetables,500 g,104.14,27% OFF,82.0
Garlic (Loose),fruits-vegetables,1 kg,377.6,28% OFF,295.0
Ginger (Loose),fruits-vegetables,1 kg,239.7,41% OFF,170.0
Curry Leaves,fruits-vegetables,1 kg,283.21,27% OFF,223.0
"Chilli - Green Long, Medium (Loose)",fruits-vegetables,1 kg,194.31,27% OFF,153.0
Lemon,fruits-vegetables,6 pcs,211.2,60% OFF,132.0
Ginger - Organically Grown (Loose),fruits-vegetables,250 g,60.775,43% OFF,42.5
Dill Leaves,fruits-vegetables,1 kg,167.64,27% OFF,132.0
Chilli - Green Small (Loose),fruits-vegetables,500 g,120.65,27% OFF,95.0
Lemon Grass,fruits-vegetables,100 g,13.97,27% OFF,11.0
Celery,fruits-vegetables,1 kg,149.86,27% OFF,118.0
"Chilli - Bajji, Mild (Loose)",fruits-vegetables,1 kg,104.14,27% OFF,82.0
Garlic - Organically Grown (Loose),fruits-vegetables,100 g,38.94,32% OFF,29.5
"Basil - Thai, Sweet",fruits-vegetables,10 g,40.64,27% OFF,32.0
Parsley Leaves - Curly,fruits-vegetables,1 kg,410.21000000000004,27% OFF,323.0
Ginger - Chopped,fruits-vegetables,100 g,78.74000000000001,27% OFF,62.0
"Chilli - Green Big, Organically Grown (Loose)",fruits-vegetables,500 g,59.69,27% OFF,47.0
Tulsi Leaves,fruits-vegetables,1 kg,205.74,27% OFF,162.0
Thai Mix,fruits-vegetables,1 pc,151.13,27% OFF,119.0
Fresh Turmeric - Organically Grown (Loose),fruits-vegetables,1 kg,154.94,27% OFF,122.0
Neem Giloy (Amruta Balli) - Organically Grown,fruits-vegetables,100 g,20.32,27% OFF,16.0
Garlic Powder - Spices & Masalas,fruits-vegetables,50 g,99.0,0% off,99.0
Pizza Oregano - Enhances Flavour,fruits-vegetables,34 g,99.0,0% off,99.0
Sriracha Mix,fruits-vegetables,56 g,99.0,0% off,99.0
Chilli - Thai Bird,fruits-vegetables,1 kg,1529.7150000000001,27% OFF,1204.5
Raw Mango - Diced,fruits-vegetables,300 g,62.230000000000004,27% OFF,49.0
Green Chilly - Chopped,fruits-vegetables,500 g,38.9382,27% OFF,30.66
Swiss Chard - Multi Colored,fruits-vegetables,250 g,109.22,27% OFF,86.0
Kale,fruits-vegetables,1 pc,45.72,27% OFF,36.0
Microgreen - Peashoots,fruits-vegetables,35 g,116.25,0% off,116.25
Sage,fruits-vegetables,50 g,62.230000000000004,27% OFF,49.0
Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g,fruits-vegetables,Combo - 4 Items,220.30689999999998,27% OFF,173.47
"Garlic - Single Clove, Packed With Nutrients, Heal Cold & Cough",fruits-vegetables,1 kg,572.77,27% OFF,451.0
Pea Eggplant / Sundaikai,fruits-vegetables,1 kg,344.0049,27% OFF,270.87
Hibiscus Rosa Sinensis Flower Powder - May Help In Weight Loss,fruits-vegetables,175 g - Jar,265.0,0% off,265.0
Oregano,fruits-vegetables,100 g,11.52,20% OFF,9.6
Microgreen - Spinach,fruits-vegetables,50 g,148.0,0% off,148.0
"Kashmiri Garlic - Whole, Rich In Vitamin B, C",fruits-vegetables,200 g,32.4485,27% OFF,25.55
Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Lemon 250 g,fruits-vegetables,Combo - 4 Items,93.75,0% off,93.75
Lemon Gandharaj,fruits-vegetables,1 kg,468.19820000000004,27% OFF,368.66
Kashmiri Garlic,fruits-vegetables,1 kg,1653.54,27% OFF,1302.0
"Lemon , Economy, Institutional",fruits-vegetables,1 kg,,0% off,
Lemon Kaji,fruits-vegetables,6 pc,182.67680000000001,27% OFF,143.84
"Garlic Economy, Institutional",fruits-vegetables,1 kg,,0% off,
"Lemon Grass, Premium, Institutional",fruits-vegetables,100 g,,0% off,
Atta/Godihittu - Whole Wheat,foodgrains-oil-masala,5 kg,285.6204,17% OFF,244.12
"Select Sharbati Atta - Rich In Nutrients, For Soft & Fluffy Roti",foodgrains-oil-masala,10 kg,672.336,16% OFF,579.6
Atta with Multigrains - High Fibre,foodgrains-oil-masala,10 kg,676.2336,16% OFF,582.96
Sooji Ordinary/Bombay Rava,foodgrains-oil-masala,5x1 kg - Multipack,383.5,₹30 OFF,295.0
Maida -  Soft & Chemical Free,foodgrains-oil-masala,200 g - Pouch,13.97,27% OFF,11.0
Fine Besan/Kadale Hittu - 100% Chana Dal,foodgrains-oil-masala,1 kg,139.86,26% OFF,111.0
Bansi Sooji,foodgrains-oil-masala,500 g - Pouch,37.12,16% OFF,32.0
Organic Whole Wheat Atta,foodgrains-oil-masala,5 kg,450.5884,₹34 OFF,336.26
Chakki Fresh Atta,foodgrains-oil-masala,1 kg - Pouch,77.7984,28% OFF,60.78
Chiroti/Barik Sooji,foodgrains-oil-masala,1 kg - Pouch,64.31,9% OFF,59.0
Whole Wheat Atta,foodgrains-oil-masala,10 kg,1022.25,₹45 OFF,705.0
"Double Roasted Suji Rava - Less Moisture, More Quantity, Made From MP Wheat",foodgrains-oil-masala,500 g,41.58,10% OFF,37.8
Sugar Release Control Atta/Godihittu,foodgrains-oil-masala,5 kg,379.456,12% OFF,338.8
Idli Sooji/Rava,foodgrains-oil-masala,2 kg - Pouch,117.16,16% OFF,101.0
Bansi Rava - Made From Durum Wheat,foodgrains-oil-masala,1 kg,65.34,10% OFF,59.4
"Multigrain Atta - 7 Grains, High Fibre Flour, High Protein Atta",foodgrains-oil-masala,2 x 5 kg - Multipack,717.36,22% OFF,588.0
Wheat Flour (Atta),foodgrains-oil-masala,5 kg - Pouch,433.575,₹23 OFF,352.5
"Gold Atta - 100% MP Sharbati Wheat, 12-Hour Softness, High Fibre Atta",foodgrains-oil-masala,2 x 5 kg - Multipack,661.74,23% OFF,538.0
Organic Suji,foodgrains-oil-masala,500 g - Pouch,75.0,0% off,75.0
Nature's Super Foods - Ragi Flour/Ragi Hittu,foodgrains-oil-masala,1 kg - Pouch,97.75,15% OFF,85.0
Idiappam Podi,foodgrains-oil-masala,500 g,57.0,0% off,57.0
Podi - Chemba Puttu,foodgrains-oil-masala,500 g - Pouch,70.0,0% off,70.0
Organic White Quinoa Flour,foodgrains-oil-masala,500 g,365.67,53% OFF,239.0
Buckwheat Flour,foodgrains-oil-masala,500 g,271.7,30% OFF,209.0
Sona Masuri - Unpolished Rice/Akki,foodgrains-oil-masala,1 Kg,120.84,₹6 OFF,114.0
"Samba Broken Rava - Made From 100% Khapli Wheat, Rich In dietary fibre",foodgrains-oil-masala,1 kg,150.075,₹15 OFF,130.5
Whole Wheat Chakki Atta,foodgrains-oil-masala,5 Kg,243.35500000000002,19% OFF,204.5
Shudh Chakki Atta,foodgrains-oil-masala,10 kg,624.6526,₹43 OFF,436.82
Refined wheat flour (Maida),foodgrains-oil-masala,1 kg,88.11,10% OFF,80.1
Besan - Gram Flour,foodgrains-oil-masala,1 Kg,129.36,32% OFF,98.0
Sooji,foodgrains-oil-masala,500 g - Pouch,34.29,27% OFF,27.0
Atta With Millets,foodgrains-oil-masala,1 kg,79.8,5% OFF,76.0
Atta With Millets,foodgrains-oil-masala,5 kg,471.74399999999997,₹35 OFF,349.44
Superior-Mp-Sharbati-Atta/Godihittu - Fortified,foodgrains-oil-masala,10 kg - Pouch,618.6864,22% OFF,507.12
Atta/Godihittu - Chakki Fresh,foodgrains-oil-masala,10 kg - Pouch,566.916,20% OFF,472.43
Rice Flour,foodgrains-oil-masala,1 kg - Pouch,59.85,5% OFF,57.0
Ragi Flour/Ragi Hittu,foodgrains-oil-masala,500 g,37.947,39% OFF,27.3
Refined Wheat Flour/Maida,foodgrains-oil-masala,1 kg,55.967999999999996,32% OFF,42.4
Rice Flour,foodgrains-oil-masala,1 kg,62.9748,2% OFF,61.74
Chakki-Fresh-Wheat-Atta/Godihittu - Fortified,foodgrains-oil-masala,10 kg,451.24,16% OFF,389.0
Sooji/Bombay Rava,foodgrains-oil-masala,1 kg,60.32,16% OFF,52.0
Besan/Kadale Hittu,foodgrains-oil-masala,500 g,55.88,27% OFF,44.0
Rice Flour/Akki Hittu,foodgrains-oil-masala,500 g,27.36,14% OFF,24.0
"Atta With 9 Multigrain - High-Fibre & High Protein Soft Rotis, Fortified",foodgrains-oil-masala,10 kg,629.7292,16% OFF,542.87
Ragi Flour,foodgrains-oil-masala,1 kg,73.9704,2% OFF,72.52
Idli Rava,foodgrains-oil-masala,1 kg,62.9748,2% OFF,61.74
Organic - Jowar Flour,foodgrains-oil-masala,2x1 kg - Multipack,181.5,21% OFF,150.0
Natives Buckwheat Flour,foodgrains-oil-masala,500 g,,0% off,
"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",foodgrains-oil-masala,2x1kg - Multipack,194.88,16% OFF,168.0
GTS Original Vada Colam Raw Rice,foodgrains-oil-masala,10 kg,1061.424,12% OFF,947.7
"Sona Masuri Raw Rice/Akki - 12 Months, Pesticide Free",foodgrains-oil-masala,5 kg,671.988,₹20 OFF,559.99
Basmati Rice - Rozana,foodgrains-oil-masala,5 kg - Pack,565.74,26% OFF,449.0
Jeera/Jeeraga Samba Rice/Akki,foodgrains-oil-masala,2 kg - Pouch,247.66,22% OFF,203.0
Rice/Akki - Jeera,foodgrains-oil-masala,1 kg,132.1472,16% OFF,113.92
Basmati Rice/Basmati Akki - Biryani,foodgrains-oil-masala,5 kg - Bag,2192.3344,₹106 OFF,1064.24
Basmati Rice/Basmati Akki - Rozana Super 90,foodgrains-oil-masala,5 kg,457.56,24% OFF,369.0
Basmati Rice/Basmati Akki - Dubar,foodgrains-oil-masala,1 kg - Pouch,159.72,21% OFF,132.0
Vadi Matta Rice,foodgrains-oil-masala,5 kg - Bag,355.68,17% OFF,304.0
Basmati Rice - Super,foodgrains-oil-masala,1 kg - Pouch,199.251,30% OFF,153.27
Basmati Rice/Basmati Akki - Classic,foodgrains-oil-masala,5 kg - Bag,1226.5,10% OFF,1115.0
"Sona Masoori - Premium, Light Weight & Aromatic",foodgrains-oil-masala,5 kg,457.25,18% OFF,387.5
Sonamasuri Rice,foodgrains-oil-masala,3x5 kg - Multipack,3086.49,₹99 OFF,1551.0
Sonamasuri Brown Rice,foodgrains-oil-masala,2x5 kg - Multipack,1100.0,0% off,1100.0
"Lachakari Wada Kolam Rice - Premium, Sourced From Vidharba",foodgrains-oil-masala,5 kg,535.2361999999999,18% OFF,453.59
Basmati Rice/Basmati Akki - Mogra/Broken,foodgrains-oil-masala,5 kg - Bag,423.7048,13% OFF,374.96
Organic - Puffed Rice/Kadle Puri,foodgrains-oil-masala,200 g - Pouch,45.0,0% off,45.0
Premium Aromatic Govind Bhog Rice,foodgrains-oil-masala,5 kg,789.096,10% OFF,717.36
Basmati Rice/Basmati Akki - Brown (Quick Cooking),foodgrains-oil-masala,1 kg - Jar,196.5695,15% OFF,170.93
Basmati Rice/Basmati Akki - Rozana,foodgrains-oil-masala,1 kg - Pouch,122.10000000000001,25% OFF,97.68
Pulav Basmati Rice,foodgrains-oil-masala,500 g,83.8234,13% OFF,74.18
Basmati Rice/Basmati Akki - Sehat Mini Mogra,foodgrains-oil-masala,5 kg,341.0,24% OFF,275.0
Basmati Rice/Basmati Akki - Biryani Special,foodgrains-oil-masala,5 kg - Pouch,999.7071,23% OFF,812.77
Basmati Rice/Basmati Akki - Mini Mogra/Broken,foodgrains-oil-masala,10 kg - Bag,990.2772,₹53 OFF,647.24
Basmati Rice/Basmati Akki - Traditional,foodgrains-oil-masala,5 kg - Pouch,1608.81,₹63 OFF,987.0
Baskati - Rice,foodgrains-oil-masala,10 kg,721.9872,32% OFF,546.96
Basmati Rice/Basmati Akki - Regular Choice,foodgrains-oil-masala,5 kg,531.354,14% OFF,466.1
Miniket Rice,foodgrains-oil-masala,26 kg,1714.92,24% OFF,1383.0
Basmati Rice/Basmati Akki - Tibar,foodgrains-oil-masala,1 kg - Pouch,174.825,11% OFF,157.5
Basmati Rice/Basmati Akki - Devaaya,foodgrains-oil-masala,5 kg - Pouch,710.6344,13% OFF,628.88
Indrayani Rice,foodgrains-oil-masala,5 kg - Pouch,548.89,₹31 OFF,419.0
Basmati Rice/Basmati Akki - Sehat Mogra,foodgrains-oil-masala,5 kg,527.7066,₹41 OFF,374.26
Jowar Whole,foodgrains-oil-masala,500 g - Pouch,38.4,20% OFF,32.0
Everyday Basmati Rice/Basmati Akki,foodgrains-oil-masala,5 kg - Pouch,702.576,23% OFF,571.2
"Biryani Kit - Hyderabadi, Spicy Flavour, No Added Preservatives & Colours",foodgrains-oil-masala,334 g,145.77,13% OFF,129.0
"Basmati Rice/Basmati Akki - Royale, Authentic Biryani",foodgrains-oil-masala,5 kg,1073.028,21% OFF,886.8
Daily Delight Pure Basmati Rice,foodgrains-oil-masala,5 kg,382.8,10% OFF,348.0
Dudheswar - Rice,foodgrains-oil-masala,10 kg,851.88,24% OFF,687.0
Organic Black Red Rice,foodgrains-oil-masala,500 g,258.93,37% OFF,189.0
Premium Minikit Parboiled Rice,foodgrains-oil-masala,5 kg,546.975,₹43 OFF,382.5
"Basmati Rice/Basmati Akki - Extra Long, Gold",foodgrains-oil-masala,5 kg - Pouch,990.3960000000001,23% OFF,805.2
Sonamasuri Rice/Akki - Hand Pounded,foodgrains-oil-masala,1 kg - Pouch,126.9,₹8 OFF,117.5
Devaaya Everyday Rice,foodgrains-oil-masala,5 kg,502.5945,41% OFF,356.45
Basmati Rice - Biryani Regular,foodgrains-oil-masala,1 kg,167.2463,27% OFF,131.69
"Basmati Rice/Basmati Akki - Authentic, Super Value",foodgrains-oil-masala,1 kg,222.8148,17% OFF,190.44
"Biryani Kit - Lucknowi, Mild Flavour, No Added Preservatives & Colours",foodgrains-oil-masala,334 g,145.77,13% OFF,129.0
Basmati Rice Everyday,foodgrains-oil-masala,5 kg,646.8462,₹43 OFF,452.34
Unpolished Toor Dal/Arhar Dal,foodgrains-oil-masala,2 kg,745.668,₹54 OFF,484.2
Toor/Arhar Dal,foodgrains-oil-masala,2 kg - Pouch,460.0,25% OFF,368.0
Moong Dal/Hesaru Bele,foodgrains-oil-masala,500 g - Pouch,87.04,28% OFF,68.0
Fried Gram/Huri Kadale,foodgrains-oil-masala,1 kg - Pouch,168.64,24% OFF,136.0
Moong Dal/Hesaru Bele,foodgrains-oil-masala,1 kg - Pouch,203.0,16% OFF,175.0
Green Moong Whole/Hesaru Kaalu - Sabut,foodgrains-oil-masala,1 kg - Pouch,197.75,₹13 OFF,175.0
